cnes;Regi?o de Sa?de;Regi?o Administrativa
7829299;Sudoeste;Águas Claras
9364471;Sudoeste;Taguatinga
7544960;Sudoeste;Samambaia
9038620;Sudoeste;Águas Claras
4189418;Sudoeste;Samambaia
9006176;Sudoeste;Águas Claras
9921036;Sudoeste;Taguatinga
3281140;Sudoeste;Águas Claras
4407989;Sudoeste;Recanto das Emas
7998341;Sudoeste;Taguatinga
3379760;Sudoeste;Águas Claras
186694;Sudoeste;Taguatinga
9042318;Sudoeste;Recanto das Emas
5537606;Sudoeste;Taguatinga
9307249;Sudoeste;Águas Claras
5537622;Sudoeste;Taguatinga
9477020;Sudoeste;Taguatinga
9359168;Sudoeste;Vicente Pires
4101995;Sudoeste;Águas Claras
4339142;Sudoeste;Águas Claras
7234;Sudoeste;Águas Claras
4580974;Sudoeste;Águas Claras
895520;Sudoeste;Águas Claras
3596893;Sudoeste;Águas Claras
3951960;Sudoeste;Samambaia
4493699;Sudoeste;Águas Claras
2980487;Sudoeste;Taguatinga
4367618;Sudoeste;Taguatinga
5286174;Sudoeste;Taguatinga
651303;Sudoeste;Samambaia
4525884;Sudoeste;Águas Claras
108626;Sudoeste;Águas Claras
4868986;Sudoeste;Águas Claras
9381732;Sudoeste;Taguatinga
4316983;Sudoeste;Taguatinga
128694;Sudoeste;Águas Claras
9896198;Sudoeste;Vicente Pires
4138813;Sudoeste;Águas Claras
6963447;Central;Plano Piloto
3546187;Central;Plano Piloto
4201663;Central;Lago Sul
4010159;Central;Plano Piloto
4550072;Central;Lago Sul
7897235;Central;Lago Sul
863017;Central;Sudoeste/Octogonal
4278704;Central;Plano Piloto
7968868;Central;Lago Norte
7289847;Central;Plano Piloto
4263715;Central;Plano Piloto
5526833;Central;Plano Piloto
3028259;Central;Plano Piloto
3024938;Central;Plano Piloto
4726820;Central;Plano Piloto
9632107;Central;Lago Sul
4424123;Central;Plano Piloto
5378206;Central;Plano Piloto
3504166;Central;Plano Piloto
5344166;Central;Plano Piloto
6065961;Central;Plano Piloto
3388026;Central;Lago Sul
923826;Central;Plano Piloto
3355810;Central;Plano Piloto
4290763;Central;Plano Piloto
9902589;Central;Plano Piloto
4878957;Central;Plano Piloto
4985397;Central;Plano Piloto
5078865;Central;Plano Piloto
9679227;Central;Plano Piloto
7902581;Central;Plano Piloto
4773756;Central;Plano Piloto
262900;Central;Plano Piloto
9422889;Central;Plano Piloto
5032091;Central;Plano Piloto
3417697;Central;Plano Piloto
4603265;Central;Plano Piloto
6037208;Central;Plano Piloto
6450369;Central;Plano Piloto
9754598;Central;Plano Piloto
3448983;Central;Plano Piloto
4409744;Central;Plano Piloto
4548671;Central;Plano Piloto
4487796;Central;Plano Piloto
9976787;Central;Plano Piloto
4236890;Central;Plano Piloto
4265343;Central;Plano Piloto
4905059;Central;Plano Piloto
9768394;Central;Plano Piloto
3093840;Central;Lago Sul
4369432;Central;Plano Piloto
7935153;Central;Plano Piloto
4526953;Central;Plano Piloto
6820107;Central;Plano Piloto
4996135;Central;Plano Piloto
9850325;Central;Plano Piloto
2866994;Central;Plano Piloto
847704;Central;Plano Piloto
3160912;Central;Plano Piloto
4522389;Central;Plano Piloto
3146022;Central;Plano Piloto
7460015;Central;Plano Piloto
5712882;Central;Plano Piloto
7395167;Central;Plano Piloto
3551539;Central;Plano Piloto
4684192;Central;Plano Piloto
2888068;Central;Plano Piloto
4877926;Central;Sudoeste/Octogonal
2993716;Central;Sudoeste/Octogonal
7743130;Central;Plano Piloto
520144;Central;Plano Piloto
3275833;Central;Lago Sul
876747;Central;Plano Piloto
9969780;Central;Lago Sul
2969165;Central;Plano Piloto
7345534;Central;Plano Piloto
3253481;Central;Plano Piloto
7780567;Central;Plano Piloto
9906444;Central;Plano Piloto
4118286;Central;Plano Piloto
282030;Central;Plano Piloto
3062236;Central;Plano Piloto
9319069;Central;Plano Piloto
3799131;Central;Plano Piloto
9137386;Central;Plano Piloto
4975103;Central;Plano Piloto
3330605;Central;Plano Piloto
4399129;Central;Plano Piloto
7141491;Central;Plano Piloto
9667113;Central;Plano Piloto
2997665;Central;Sudoeste/Octogonal
3451860;Central;Plano Piloto
10545;Oeste;Brazlândia
9676473;Oeste;Ceilândia
7871805;Oeste;Ceilândia
9051384;Oeste;Brazlândia
9784314;Oeste;Brazlândia
5176069;Oeste;Ceilândia
3144658;Oeste;Brazlândia
9716491;Oeste;Ceilândia
5470587;Oeste;Ceilândia
3040933;Oeste;Ceilândia
6071503;Oeste;Ceilândia
9928553;Oeste;Brazlândia
7773269;Oeste;Brazlândia
251429;Oeste;Ceilândia
4538528;Oeste;Ceilândia
4103459;Oeste;Ceilândia
3530744;Oeste;Ceilândia
7936532;Oeste;Ceilândia
4633369;Oeste;Ceilândia
3039854;Oeste;Brazlândia
4930800;Oeste;Ceilândia
7817428;Oeste;Ceilândia
9789197;Oeste;Ceilândia
9918167;Oeste;Ceilândia
90131;Oeste;Ceilândia
973602;Oeste;Ceilândia
4505824;Oeste;Ceilândia
9316817;Oeste;Ceilândia
9912444;Oeste;Ceilândia
82074;Oeste;Ceilândia
3409171;Oeste;Ceilândia
4415906;Oeste;Ceilândia
4289358;Oeste;Ceilândia
4350650;Oeste;Ceilândia
4999568;Oeste;Ceilândia
9701699;Oeste;Ceilândia
41084;Oeste;Ceilândia
1139126;Oeste;Brazlândia
3040976;Oeste;Ceilândia
2905078;Sudoeste;Taguatinga
7994613;Sudoeste;Samambaia
9996613;Sudoeste;Taguatinga
9019480;Sudoeste;Águas Claras
9567003;Sudoeste;Taguatinga
885185;Sudoeste;Taguatinga
9408886;Sudoeste;Águas Claras
9328904;Sudoeste;Taguatinga
6159885;Sudoeste;Taguatinga
807826;Sudoeste;Águas Claras
2875616;Sudoeste;Águas Claras
3075699;Sudoeste;Taguatinga
86800;Sudoeste;Recanto das Emas
9232451;Sudoeste;Taguatinga
5335221;Sudoeste;Taguatinga
7350171;Sudoeste;Águas Claras
9579095;Sudoeste;Taguatinga
874515;Sudoeste;Taguatinga
4337883;Sudoeste;Vicente Pires
3509745;Sudoeste;Águas Claras
3379736;Sudoeste;Taguatinga
4339088;Sudoeste;Taguatinga
9123075;Sudoeste;Taguatinga
4393635;Sudoeste;Taguatinga
3281167;Sudoeste;Taguatinga
4099788;Sudoeste;Águas Claras
4526236;Sudoeste;Águas Claras
839361;Sudoeste;Recanto das Emas
4042921;Sudoeste;Taguatinga
4555805;Sudoeste;Águas Claras
4236823;Sudoeste;Vicente Pires
9475656;Sudoeste;Águas Claras
4324005;Sudoeste;Águas Claras
4574303;Sudoeste;Águas Claras
4264932;Sudoeste;Águas Claras
9896872;Sudoeste;Samambaia
830941;Sudoeste;Taguatinga
7161158;Central;Plano Piloto
7907958;Central;Lago Norte
6214274;Central;Plano Piloto
3083888;Central;Plano Piloto
4759737;Central;Plano Piloto
7990871;Central;Plano Piloto
3303632;Central;Plano Piloto
380989;Central;Plano Piloto
35742;Central;Plano Piloto
3107450;Central;Plano Piloto
9479341;Central;Plano Piloto
7614357;Central;Plano Piloto
5440874;Central;Plano Piloto
5877326;Central;Plano Piloto
3027899;Central;Plano Piloto
464740;Central;Plano Piloto
7682808;Central;Plano Piloto
3303462;Central;Plano Piloto
3086194;Central;Plano Piloto
7403364;Central;Plano Piloto
3462498;Central;Plano Piloto
4862929;Central;Plano Piloto
9891943;Central;Plano Piloto
6572685;Central;Plano Piloto
3373177;Central;Sudoeste/Octogonal
2897784;Central;Plano Piloto
2942267;Central;Plano Piloto
7203381;Central;Sudoeste/Octogonal
3330656;Central;Lago Sul
3273989;Central;Plano Piloto
3514838;Central;Plano Piloto
3252434;Central;Plano Piloto
7278268;Central;Plano Piloto
9703527;Central;Plano Piloto
3066169;Central;Plano Piloto
4407075;Central;Plano Piloto
5350123;Central;Plano Piloto
7850182;Central;Plano Piloto
3612988;Central;Plano Piloto
9098240;Central;Plano Piloto
9293795;Central;Plano Piloto
6517447;Central;Plano Piloto
9249044;Central;Plano Piloto
6389848;Central;Plano Piloto
3575853;Central;Plano Piloto
3066487;Central;Plano Piloto
3088634;Central;Plano Piloto
4714008;Central;Plano Piloto
9838821;Central;Plano Piloto
7122942;Central;Plano Piloto
9477063;Central;Sudoeste/Octogonal
5490804;Central;Sudoeste/Octogonal
6774768;Central;Plano Piloto
245232;Central;Plano Piloto
3117804;Central;Plano Piloto
5470668;Central;Plano Piloto
6148808;Central;Plano Piloto
9361944;Central;Plano Piloto
2866579;Central;Plano Piloto
9181660;Central;Plano Piloto
4889983;Central;Plano Piloto
4537440;Central;Plano Piloto
3321657;Central;Plano Piloto
4652398;Central;Plano Piloto
3182916;Central;Plano Piloto
3522865;Central;Lago Sul
6696503;Central;Plano Piloto
3786803;Central;Plano Piloto
676853;Central;Plano Piloto
2997444;Central;Plano Piloto
4484037;Central;Plano Piloto
9911081;Central;Plano Piloto
7711239;Central;Plano Piloto
4301110;Central;Plano Piloto
3256847;Central;Plano Piloto
4705947;Central;Plano Piloto
9161910;Central;Plano Piloto
9790616;Central;Plano Piloto
15946;Central;Plano Piloto
2893754;Central;Plano Piloto
4514971;Central;Plano Piloto
7418957;Central;Plano Piloto
2965836;Central;Plano Piloto
5558425;Central;Sudoeste/Octogonal
4525019;Central;Lago Sul
4097475;Central;Plano Piloto
6975003;Central;Plano Piloto
4645162;Central;Plano Piloto
3177327;Central;Plano Piloto
4481925;Central;Plano Piloto
6065902;Central;Plano Piloto
2890747;Central;Plano Piloto
4836057;Central;Sudoeste/Octogonal
4509234;Central;Plano Piloto
6857612;Central;Plano Piloto
5079012;Central;Plano Piloto
997617;Central;Sudoeste/Octogonal
4189752;Central;Plano Piloto
6496512;Central;Plano Piloto
4341570;Central;Plano Piloto
869996;Central;Plano Piloto
9631747;Central;Plano Piloto
4042905;Central;Plano Piloto
5128730;Central;Plano Piloto
4833430;Central;Plano Piloto
4313992;Central;Plano Piloto
9880275;Central;Plano Piloto
3098443;Central;Sudoeste/Octogonal
4264835;Central;Plano Piloto
764442;Central;Sudoeste/Octogonal
4521374;Central;Plano Piloto
7025394;Central;Plano Piloto
2866587;Central;Plano Piloto
1134639;Central;Plano Piloto
9953078;Central;Plano Piloto
9971815;Central;Plano Piloto
3535363;Central;Plano Piloto
4227530;Central;Plano Piloto
4481461;Central;Sudoeste/Octogonal
911550;Central;Plano Piloto
4313895;Central;Plano Piloto
3027694;Centro-Sul;SIA
9190104;Centro-Sul;Núcleo Bandeirante
11185;Centro-Sul;Candangolândia
2660199;Centro-Sul;Riacho Fundo I
6964095;Centro-Sul;SIA
11665;Centro-Sul;Guará
934933;Centro-Sul;SIA
3027651;Centro-Sul;SIA
2993694;Centro-Sul;Guará
9025391;Centro-Sul;SIA
9548866;Centro-Sul;Riacho Fundo I
4713605;Centro-Sul;Guará
9192271;Centro-Sul;Guará
9002960;Centro-Sul;Guará
4841441;Centro-Sul;Guará
9494901;Centro-Sul;SIA
4561058;Centro-Sul;Park Way
5759218;Centro-Sul;Guará
4955757;Centro-Sul;Riacho Fundo I
2916738;Centro-Sul;Guará
9782419;Centro-Sul;Guará
7859856;Centro-Sul;Guará
405752;Centro-Sul;Guará
4914775;Centro-Sul;Guará
668192;Centro-Sul;Guará
9040293;Centro-Sul;Guará
5478774;Centro-Sul;Guará
631221;Centro-Sul;Guará
7180179;Centro-Sul;Guará
4610946;Centro-Sul;Riacho Fundo II
9347127;Centro-Sul;Guará
9605320;Centro-Sul;SIA
4347579;Centro-Sul;Guará
648248;Centro-Sul;Guará
892599;Centro-Sul;Núcleo Bandeirante
4334841;Centro-Sul;Núcleo Bandeirante
5416213;Centro-Sul;Riacho Fundo I
5441226;Centro-Sul;Guará
4854063;Centro-Sul;Guará
7790902;Centro-Sul;SIA
9328440;Centro-Sul;Candangolândia
9800069;Centro-Sul;Núcleo Bandeirante
4172965;Centro-Sul;Guará
922765;Centro-Sul;Núcleo Bandeirante
3778223;Centro-Sul;Riacho Fundo II
4294513;Centro-Sul;Candangolândia
4482425;Centro-Sul;Guará
4369505;Centro-Sul;Candangolândia
4313224;Centro-Sul;Candangolândia
4323939;Centro-Sul;Núcleo Bandeirante
9054715;Centro-Sul;Guará
9459405;Centro-Sul;Guará
9888802;Centro-Sul;Guará
4211065;Centro-Sul;Guará
247340;Centro-Sul;SIA
858021;Centro-Sul;Guará
4118669;Centro-Sul;Guará
3406725;Centro-Sul;Guará
4020103;Centro-Sul;Riacho Fundo I
3459918;Sudoeste;Taguatinga
7108923;Sudoeste;Taguatinga
9480587;Sudoeste;Samambaia
7053754;Sudoeste;Samambaia
9536469;Sudoeste;Taguatinga
9233636;Sudoeste;Taguatinga
3281108;Sudoeste;Águas Claras
2643561;Sudoeste;Taguatinga
7238703;Sudoeste;Taguatinga
4573110;Sudoeste;Taguatinga
107158;Sudoeste;Águas Claras
6294448;Sudoeste;Taguatinga
9882448;Sudoeste;Taguatinga
9495509;Sudoeste;Taguatinga
9605509;Sudoeste;Taguatinga
555584;Sudoeste;Taguatinga
6747426;Sudoeste;Taguatinga
2903865;Sudoeste;Taguatinga
9547754;Sudoeste;Taguatinga
4433076;Sudoeste;Taguatinga
4036344;Sudoeste;Águas Claras
7079451;Sudoeste;Taguatinga
5431808;Sudoeste;Taguatinga
9817212;Sudoeste;Taguatinga
9660089;Sudoeste;Águas Claras
6602096;Sudoeste;Taguatinga
3474100;Sudoeste;Taguatinga
9949380;Sudoeste;Águas Claras
7371268;Sudoeste;Taguatinga
4927745;Sudoeste;Taguatinga
5493013;Sudoeste;Taguatinga
4635892;Sudoeste;Águas Claras
4563131;Sudoeste;Águas Claras
9914625;Sudoeste;Águas Claras
3073777;Sudoeste;Taguatinga
5967759;Sudoeste;Recanto das Emas
4288335;Sudoeste;Samambaia
4377478;Sudoeste;Águas Claras
3417395;Sudoeste;Taguatinga
3467546;Sudoeste;Taguatinga
4696875;Sudoeste;Águas Claras
9230149;Sudoeste;Taguatinga
2897016;Sudoeste;Águas Claras
3375978;Sudoeste;Águas Claras
872962;Sudoeste;Águas Claras
5485142;Sudoeste;Águas Claras
9295518;Sudoeste;Taguatinga
2857960;Sudoeste;Águas Claras
4563239;Sudoeste;Águas Claras
4189736;Sudoeste;Águas Claras
772526;Sudoeste;Samambaia
4493990;Sudoeste;Vicente Pires
3951936;Sudoeste;Samambaia
4375483;Sudoeste;Águas Claras
4546792;Sudoeste;Águas Claras
9335234;Sudoeste;Taguatinga
4611144;Sudoeste;Samambaia
4944348;Sudoeste;Águas Claras
418102;Sudoeste;Samambaia
3074196;Sudoeste;Águas Claras
4727800;Sudoeste;Águas Claras
9271384;Sudoeste;Águas Claras
4410785;Sudoeste;Águas Claras
9476911;Sudoeste;Taguatinga
4375521;Sudoeste;Águas Claras
684058;Sudoeste;Taguatinga
4045629;Sudoeste;Samambaia
10499;Sudoeste;Taguatinga
223441;Sul;Gama
3019608;Central;Plano Piloto
3082342;Central;Plano Piloto
11150;Central;Plano Piloto
10758;Central;Cruzeiro
7841140;Central;Sudoeste/Octogonal
3215830;Central;Plano Piloto
9499725;Central;Plano Piloto
7978243;Central;Plano Piloto
7612540;Central;Plano Piloto
3211258;Central;Plano Piloto
7506015;Central;Lago Sul
466751;Central;Plano Piloto
7037341;Central;Plano Piloto
4775260;Central;Plano Piloto
3911810;Central;Sudoeste/Octogonal
4366115;Central;Lago Norte
4272331;Central;Lago Norte
3303667;Central;Plano Piloto
5680743;Central;Plano Piloto
9435670;Central;Plano Piloto
9289275;Central;Plano Piloto
4712854;Central;Lago Sul
6458947;Central;Plano Piloto
9001212;Central;Plano Piloto
4736982;Central;Plano Piloto
5352207;Central;Sudoeste/Octogonal
5169127;Central;Sudoeste/Octogonal
5049555;Central;Plano Piloto
9952195;Central;Plano Piloto
3305023;Central;Plano Piloto
3210839;Central;Plano Piloto
3330796;Central;Plano Piloto
7852584;Central;Plano Piloto
9745580;Central;Plano Piloto
4186893;Central;Plano Piloto
5402670;Central;Plano Piloto
9795189;Central;Plano Piloto
4199901;Central;Plano Piloto
3548317;Central;Plano Piloto
4284933;Central;Plano Piloto
6239145;Central;Plano Piloto
936391;Central;Plano Piloto
3104591;Central;Plano Piloto
7929560;Central;Plano Piloto
860093;Central;Plano Piloto
209716;Central;Sudoeste/Octogonal
5464560;Central;Plano Piloto
4384601;Central;Plano Piloto
3273695;Central;Plano Piloto
7902972;Central;Plano Piloto
7701454;Central;Plano Piloto
9315551;Central;Plano Piloto
3177270;Central;Plano Piloto
705586;Central;Plano Piloto
3211355;Central;Plano Piloto
9255974;Central;Plano Piloto
3116573;Central;Plano Piloto
9247041;Central;Plano Piloto
6520340;Central;Plano Piloto
9271880;Central;Plano Piloto
5454158;Central;Plano Piloto
7335040;Central;Plano Piloto
5039738;Central;Plano Piloto
4610628;Central;Plano Piloto
9317791;Central;Plano Piloto
4558367;Central;Plano Piloto
3576051;Central;Plano Piloto
9056890;Central;Plano Piloto
3923185;Central;Plano Piloto
4426517;Central;Lago Sul
3401669;Central;Plano Piloto
9424288;Central;Plano Piloto
9983872;Central;Plano Piloto
3056090;Central;Plano Piloto
4591208;Central;Plano Piloto
7685734;Central;Plano Piloto
9316736;Central;Sudoeste/Octogonal
9525718;Central;Plano Piloto
4575342;Central;Plano Piloto
3066509;Central;Plano Piloto
925632;Central;Plano Piloto
9122788;Central;Plano Piloto
9551417;Central;Plano Piloto
4467108;Central;Plano Piloto
4708350;Central;Plano Piloto
4519965;Central;Plano Piloto
3210812;Central;Plano Piloto
3509664;Central;Plano Piloto
4622936;Central;Plano Piloto
4949978;Central;Plano Piloto
7487657;Central;Plano Piloto
5722411;Central;Plano Piloto
2961628;Central;Plano Piloto
4520645;Central;Plano Piloto
9561110;Central;Plano Piloto
767557;Central;Plano Piloto
5009073;Central;Plano Piloto
9672141;Central;Lago Norte
6890180;Central;Plano Piloto
3449130;Central;Plano Piloto
6362419;Central;Plano Piloto
4191048;Central;Sudoeste/Octogonal
5280710;Central;Plano Piloto
4305981;Central;Plano Piloto
990922;Central;Plano Piloto
9814876;Central;Plano Piloto
9046771;Central;Plano Piloto
4305736;Central;Sudoeste/Octogonal
6437087;Central;Plano Piloto
5422329;Central;Plano Piloto
5935067;Central;Plano Piloto
782556;Central;Plano Piloto
4248716;Central;Plano Piloto
9967524;Central;Plano Piloto
2898217;Central;Sudoeste/Octogonal
4328485;Central;Plano Piloto
3253554;Central;Plano Piloto
9900713;Central;Lago Norte
9573607;Central;Lago Sul
6661505;Central;Plano Piloto
104949;Central;Plano Piloto
3330575;Central;Plano Piloto
9880097;Central;Sudoeste/Octogonal
4574818;Central;Sudoeste/Octogonal
2617366;Central;Plano Piloto
9977899;Central;Plano Piloto
2840499;Oeste;Brazlândia
11010;Oeste;Ceilândia
11045;Oeste;Ceilândia
10995;Oeste;Ceilândia
11061;Oeste;Ceilândia
6585760;Oeste;Ceilândia
4881001;Oeste;Ceilândia
7991207;Oeste;Ceilândia
4015517;Oeste;Ceilândia
6517986;Oeste;Ceilândia
620920;Oeste;Ceilândia
881678;Oeste;Ceilândia
9131175;Oeste;Brazlândia
9548203;Oeste;Brazlândia
4433084;Oeste;Ceilândia
6648649;Oeste;Ceilândia
6993664;Oeste;Ceilândia
3821412;Oeste;Ceilândia
9785671;Oeste;Ceilândia
4949196;Oeste;Ceilândia
904716;Oeste;Ceilândia
6775683;Oeste;Ceilândia
4959167;Oeste;Brazlândia
4467124;Oeste;Ceilândia
1129554;Oeste;Ceilândia
7426305;Oeste;Ceilândia
4700465;Oeste;Ceilândia
721492;Oeste;Ceilândia
4401301;Oeste;Ceilândia
7479204;Oeste;Ceilândia
9143947;Oeste;Ceilândia
4075978;Oeste;Ceilândia
3539946;Oeste;Ceilândia
4392396;Oeste;Ceilândia
4865197;Oeste;Ceilândia
9853839;Oeste;Ceilândia
9841792;Oeste;Ceilândia
4018753;Oeste;Brazlândia
3025055;Oeste;Ceilândia
4491564;Oeste;Ceilândia
4602404;Oeste;Ceilândia
4347552;Oeste;Ceilândia
9872566;Oeste;Ceilândia
9322906;Oeste;Ceilândia
4092376;Oeste;Ceilândia
953776;Oeste;Ceilândia
2972549;Oeste;Ceilândia
3500829;Oeste;Ceilândia
10901;Sudoeste;Vicente Pires
9555560;Sudoeste;Samambaia
4221486;Sudoeste;Recanto das Emas
9922628;Sudoeste;Samambaia
9207694;Sudoeste;Águas Claras
4549953;Sudoeste;Taguatinga
7009054;Sudoeste;Taguatinga
4066480;Sudoeste;Vicente Pires
2643405;Sudoeste;Taguatinga
9466428;Sudoeste;Taguatinga
5966450;Sudoeste;Taguatinga
471828;Sudoeste;Águas Claras
4888448;Sudoeste;Águas Claras
252077;Sudoeste;Taguatinga
4560523;Sudoeste;Águas Claras
9612750;Sudoeste;Taguatinga
3310760;Sudoeste;Taguatinga
4716051;Sudoeste;Samambaia
5796431;Sudoeste;Taguatinga
5504066;Sudoeste;Águas Claras
3379744;Sudoeste;Águas Claras
9694161;Sudoeste;Águas Claras
5796423;Sudoeste;Taguatinga
5108152;Sudoeste;Taguatinga
7501609;Sudoeste;Águas Claras
7022174;Sudoeste;Taguatinga
3860639;Sudoeste;Taguatinga
4017544;Sudoeste;Taguatinga
4547489;Sudoeste;Águas Claras
7932669;Sudoeste;Águas Claras
9322051;Sudoeste;Taguatinga
9828508;Sudoeste;Arniqueira
3416682;Sudoeste;Taguatinga
7686323;Sudoeste;Taguatinga
4400720;Sudoeste;Taguatinga
9415270;Sudoeste;Vicente Pires
4520327;Sudoeste;Águas Claras
4475321;Sudoeste;Águas Claras
9572066;Sudoeste;Águas Claras
4888634;Sudoeste;Taguatinga
4705297;Sudoeste;Taguatinga
9985182;Sudoeste;Águas Claras
897736;Sudoeste;Águas Claras
4415396;Sudoeste;Vicente Pires
4573579;Sudoeste;Águas Claras
4586050;Sudoeste;Samambaia
4483820;Sudoeste;Samambaia
9184686;Sudoeste;Águas Claras
198749;Sudoeste;Samambaia
4383982;Sudoeste;Águas Claras
9940693;Sudoeste;Taguatinga
4776542;Sudoeste;Taguatinga
901342;Sudoeste;Águas Claras
884308;Sudoeste;Águas Claras
4510453;Sudoeste;Águas Claras
4550986;Sudoeste;Águas Claras
9940464;Sudoeste;Samambaia
741728;Sudoeste;Taguatinga
4627997;Sudoeste;Águas Claras
972789;Sudoeste;Águas Claras
5429021;Sudoeste;Taguatinga
3074188;Sudoeste;Águas Claras
3276678;Central;Sudoeste/Octogonal
7025378;Central;Plano Piloto
10766;Central;Plano Piloto
9778136;Central;Plano Piloto
7263961;Central;Lago Sul
4640012;Central;Plano Piloto
9372385;Central;Plano Piloto
3044262;Central;Plano Piloto
9465316;Central;Lago Sul
7928092;Central;Plano Piloto
4815688;Central;Plano Piloto
3362159;Central;Plano Piloto
4533801;Central;Plano Piloto
298514;Central;Plano Piloto
3429997;Central;Plano Piloto
874698;Central;Plano Piloto
3256863;Central;Plano Piloto
6056911;Central;Plano Piloto
3862658;Central;Plano Piloto
4598008;Central;Plano Piloto
4712927;Central;Plano Piloto
429287;Central;Plano Piloto
9381872;Central;Plano Piloto
606871;Central;Plano Piloto
2986914;Central;Lago Sul
2852454;Central;Lago Sul
4712943;Central;Plano Piloto
6530400;Central;Lago Sul
7111045;Central;Plano Piloto
9634282;Central;Sudoeste/Octogonal
6298486;Central;Plano Piloto
3041611;Central;Plano Piloto
9779884;Central;Lago Sul
3305708;Central;Plano Piloto
4793099;Central;Sudoeste/Octogonal
3105180;Central;Plano Piloto
4526317;Central;Sudoeste/Octogonal
9352570;Central;Plano Piloto
453307;Central;Plano Piloto
39101;Central;Plano Piloto
7760116;Central;Plano Piloto
6278426;Central;Plano Piloto
5670233;Central;Sudoeste/Octogonal
3462501;Central;Plano Piloto
9534903;Central;Plano Piloto
7532504;Central;Plano Piloto
9436529;Central;Plano Piloto
838454;Central;Plano Piloto
7973713;Central;Plano Piloto
812188;Central;Plano Piloto
9456481;Central;Plano Piloto
3546314;Central;Plano Piloto
3216322;Central;Plano Piloto
4097424;Central;Plano Piloto
3532526;Central;Plano Piloto
3079155;Central;Plano Piloto
4744101;Central;Plano Piloto
9849645;Central;Plano Piloto
7961235;Central;Plano Piloto
129143;Central;Sudoeste/Octogonal
9561277;Central;Sudoeste/Octogonal
6788653;Central;Plano Piloto
6567894;Central;Plano Piloto
5049547;Central;Plano Piloto
9436901;Central;Plano Piloto
4763742;Central;Plano Piloto
379158;Central;Plano Piloto
3435474;Central;Plano Piloto
865494;Central;Plano Piloto
9377379;Central;Plano Piloto
4784294;Central;Plano Piloto
3667235;Central;Plano Piloto
7094671;Central;Plano Piloto
4042263;Central;Plano Piloto
7757972;Central;Plano Piloto
4672917;Central;Plano Piloto
4221451;Central;Plano Piloto
5445353;Central;Plano Piloto
3908747;Central;Plano Piloto
4540026;Central;Plano Piloto
7695918;Central;Lago Sul
3470148;Central;Plano Piloto
9862706;Central;Plano Piloto
794007;Central;Plano Piloto
3068056;Central;Plano Piloto
4693094;Central;Plano Piloto
5424038;Central;Plano Piloto
925713;Central;Plano Piloto
4708199;Central;Plano Piloto
4182251;Central;Plano Piloto
4556151;Central;Plano Piloto
3232719;Central;Plano Piloto
955485;Central;Plano Piloto
73164;Central;Plano Piloto
4585771;Central;Plano Piloto
7024959;Central;Plano Piloto
5856086;Central;Plano Piloto
4673395;Central;Plano Piloto
3504557;Central;Plano Piloto
3470067;Central;Plano Piloto
3464938;Central;Plano Piloto
3163709;Central;Plano Piloto
5687721;Central;Plano Piloto
3462447;Central;Plano Piloto
9601643;Central;Plano Piloto
4107918;Central;Plano Piloto
4562143;Central;Plano Piloto
740411;Central;Plano Piloto
7991584;Central;Plano Piloto
4078551;Central;Plano Piloto
4520378;Central;Sudoeste/Octogonal
2856611;Central;Plano Piloto
4140575;Central;Sudoeste/Octogonal
4038223;Central;Plano Piloto
9054979;Central;Plano Piloto
989185;Central;Plano Piloto
9810226;Central;Plano Piloto
5019362;Central;Plano Piloto
3037037;Central;Plano Piloto
4068335;Central;Plano Piloto
738751;Central;Plano Piloto
197262;Central;Plano Piloto
5913225;Central;Plano Piloto
5925541;Central;Plano Piloto
778729;Central;Plano Piloto
2897121;Central;Plano Piloto
4505379;Central;Plano Piloto
3330680;Central;Plano Piloto
4547756;Central;Plano Piloto
9184678;Central;Plano Piloto
6976093;Central;Plano Piloto
5419204;Central;Plano Piloto
9534768;Central;Sudoeste/Octogonal
3018520;Oeste;Ceilândia
9967486;Oeste;Ceilândia
7991177;Oeste;Ceilândia
9497625;Oeste;Ceilândia
6932851;Oeste;Ceilândia
485217;Oeste;Ceilândia
9299637;Oeste;Ceilândia
9272399;Oeste;Ceilândia
9589724;Oeste;Brazlândia
2829924;Oeste;Ceilândia
9571280;Oeste;Brazlândia
4432754;Oeste;Ceilândia
4539877;Oeste;Ceilândia
7035616;Oeste;Ceilândia
9691626;Oeste;Ceilândia
6038735;Oeste;Ceilândia
11495;Oeste;Brazlândia
4138473;Oeste;Ceilândia
4900006;Oeste;Ceilândia
7472927;Oeste;Ceilândia
4732952;Oeste;Ceilândia
9104259;Oeste;Ceilândia
4157672;Oeste;Ceilândia
786918;Oeste;Brazlândia
5391296;Oeste;Ceilândia
7888872;Oeste;Ceilândia
4576756;Oeste;Ceilândia
916285;Oeste;Ceilândia
4081420;Oeste;Ceilândia
5088062;Oeste;Ceilândia
4922077;Oeste;Ceilândia
9388044;Oeste;Ceilândia
4639537;Oeste;Ceilândia
502049;Oeste;Ceilândia
990787;Oeste;Ceilândia
4522028;Oeste;Ceilândia
4390768;Oeste;Ceilândia
5546788;Oeste;Ceilândia
9830235;Oeste;Ceilândia
545864;Oeste;Brazlândia
2831775;Oeste;Ceilândia
3104095;Oeste;Ceilândia
7699077;Sudoeste;Águas Claras
9647597;Sudoeste;Samambaia
